player,club,lineup_status,confirmed,captured_at,bookmaker,goal_odds,assist_odds,sot_odds
Z. Lovelace,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
T. Arconte,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.4,,
M. Servais,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
A. Crnac,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.9,,
A. Forson,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.25,,
A. Ahmed,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
E. Myles,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
A. Musaba,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
A. Brooks,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.8,,
C. Neghli,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
P. Diallo,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
A. Ben Slimane,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
G. Forsyth,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.25,,
M. Sykes,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
P. Maghoma,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
R. Bangura-Williams,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.75,,
O. Schwartau,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
L. Gibbs,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
D. Mazou-Sacko,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
L. Cundle,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
J. Metcalfe,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
D. Kelly,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
M. Luongo,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
J. Wright,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
J. Cooper,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
M. Topic,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
P. Mattsson,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
A. Doughty,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
T. Crama,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.5,,
S. Field,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.5,,
K. McLean,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.5,,
C. Taylor,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
C. De Norre,Millwall,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
V. Özcan,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Medic,Norwich City,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Armstrong,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.9,,
R. Jiménez,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.9,,
S. Kalajdzic,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
R. Saïd,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
M. Osmajic,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
M. Mané,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.8,,
J. Erabi,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
G. Gryba,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
M. Wilson,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
E. González,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
F. López,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
J. James,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
T. Chirewa,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
M. Munetsi,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
K. Nelson,Preston North End,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
T. Edozie,Wolverhampton Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
