player,club,lineup_status,confirmed,captured_at,bookmaker,goal_odds,assist_odds,sot_odds
L. Cullen,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.8,,
S. Mavididi,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
B. De Cordova-Reid,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.55,,
T. Watson,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
C. Chaplin,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
H. Howell,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
G. Arubi,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
W. Alves,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
W. Burns,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
M. Golding,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
M. Dennis,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
M. Matthews-Lewis,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
T. Shade,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
L. Page,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
K. Adom,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
Z. Scutt,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
C. Webster,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
M. Henry,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
S. Braybrooke,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
J. Willow,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
S. Krubally,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
H. Souttar,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
T. Kalinauskas,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
J. Joseph,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
K. Lofthouse,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
W. Collar,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
H. Choudhury,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
B. Nelson,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
O. Skipp,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
C. Okoli,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
C. Gilligan,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
W. Faes,Leicester City,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
G. Evans,Burton Albion,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
A. Fletcher,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
S. Nombe,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
J. Taylor,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
B. Radulovic,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
R. Hepburn-Murphy,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
C. Paterson,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.3,,
A. Gilbey,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
N. Méndez-Laing,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.35,,
D. Sanches Fernandes,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
M. Harness,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
B. Wiles,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
C. Ashia,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
S. Silvera,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
A. Evans,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.4,,
M. McGuane,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
H. Kane,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
D. Crowley,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
D. Vost,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
L. Gooch,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
S. Troso,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
B. Mumba,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
K. Wilson,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
E. Brierley,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
T. Iorpenda,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
L. Sørensen,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
J. Matete,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
R. Wintle,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
D. Kasumu,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
R. Ledson,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
I. Togo,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
M. Ekpiteta,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.5,,
D. Barlaser,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.5,,
J. Low,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
I. Bronkhorst,Huddersfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
G. Jones,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
C. Nelson,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Sanders,MK Dons,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
H. Leonard,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.75,,
D. McGoldrick,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.88,,
R. Oates,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.3,,
V. Masara,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
M. Smith,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
T. Roberts,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.8,,
L. Akins,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
D. Frith,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
E. Williams,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
C. Conn-Clarke,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.3,,
B. Shofowoke,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
G. Maris,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
J. Russell,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
O. Edwards,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
K. Lolos,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
J. Bowery,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
J. Chambers,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
B. Woods,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
D. O'Brien-Brady,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
M. Garbett,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
B. Khela,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
H. Jones,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
N. Moriah-Welsh,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
S. McLaughlin,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
R. Hendry,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
L. Bolton,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
R. Adebisi,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
O. Taylor,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
L. Thompson,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
E. Weir,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
L. Reed,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
L. Kelly,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
S. Hughes,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
A. Oshilaja,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
E. Hewitt,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
R. Sweeney,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
G. Nevett,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
B. Cargill,Mansfield Town,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
T. O'Connor,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
D. Okagbue,Peterborough United,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Reid,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
J. Magennis,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
O. Sanderson,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
G. O'Donkor,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
S. Mills,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
J. Malcolm,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
C. Campbell,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
M. Harris,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.4,,
C. Brannagan,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
D. Kemp,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
M. Ferdinan,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
A. Emakhu,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.6,,
T. Goodrham,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
P. Patterson,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
S. Dembélé,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
M. Missanga,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
L. Snowden,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
B. De Keersmaecker,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
J. Roberts,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
L. Sibley,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
D. Phillips,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
R. Roosken,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
J. McDonnell,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
C. Piergianni,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
L. Thompson,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.5,,
M. Helik,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.5,,
T. Taylor,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Houghton,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Knight,Stevenage,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
C. Brown,Oxford United,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.5,,
K. Wootton,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.5,,
M. Mandron,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.8,,
H. Wood,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
B. Andrésson,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
M. Mothersille,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.1,,
A. Sidibeh,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.25,,
J. Diamond,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
N. Ennis,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
R. Glover,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
E. Ennis,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
J. Adigun,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
T. Bloxham,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.4,,
L. Fiorini,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
D. Taylor,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
C. Gardner,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
K. Kouassi,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
O. Moxon,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
B. Whaite,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
C. Camps,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.25,,
D. Charles,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.4,,
O. Norwood,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
J. Bowler,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
B. Osborn,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
L. Bate,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
T. Edun,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
B. Hills,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
J. Mingi,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
C. Hamilton,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
A. Morgan,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
I. Niskanen,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
K. Gordon,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
J. Dacres-Cogley,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
K. Anderson,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
G. Honeyman,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.5,,
L. Clarkson,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
T. Wilson-Brown,Stockport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
T. Upton,Blackpool,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Connolly,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
N. Oyekunle,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
D. Costelloe,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
J. Kabia,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
S. Perkins,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
T. Al Sadi,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
C. Saydee,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.1,,
C. Sze,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.2,,
Y. Akhamrich,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.25,,
T. Archibald,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.25,,
A. Higgins,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
A. Dobra,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.75,,
C. McManaman,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.4,,
R. Trevitt,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
F. Murray,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
O. O'Neill,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
D. Mitchell,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
D. Carter,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
J. Adams,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
M. Power,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
I. El Mizouni,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
C. Wellens,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
J. Weir,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
H. Rimmer,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
T. Springett,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
A. Wellens,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
D. Levitt,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
M. Smith,Wigan Athletic,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.5,,
Z. Obiero,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
S. Clare,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
I. Hayden,Leyton Orient,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Pepple,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.88,,
E. Tezgel,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.3,,
W. Evans,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
O. Oseni,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
C. Woodrow,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
K. Cross,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
B. Fink,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
F. Onyedinma,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
C. Watts,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.3,,
J. Sharpe,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
F. Issaka,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
M. Olabiyi,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
R. Curtis,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
J. Quitirna,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
S. Thomas,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
X. Amaechi,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
M. Baidoo,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
J. Mullins,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
E. Henderson,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
T. Finn,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
L. Leahy,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.5,,
C. Boyd-Munce,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
H. White,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
C. Roberts,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
B. Ibrahim,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
A. Morley,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.0,,
M. Boateng,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
T. Allen,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
J. King,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
S. Parker,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
J. Scowen,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
J. Edwards,Plymouth Argyle,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
J. Grimmer,Wycombe Wanderers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
P. Omochere,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.5,,
J. Quigley,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.63,,
F. Cavegn,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.63,,
E. Harrison,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,2.75,,
B. Kamwa,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.2,,
M. Rijks,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.25,,
S. Forde,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.5,,
O. Dewsbury,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
J. Aitchison,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
J. Crole,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
S. Gwengwe,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
C. Doidge,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.33,,
T. Leigh,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
G. Garner,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.0,,
M. Alexander-Walker,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
Y. Bamba,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
R. Russell-Denny,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
C. Jarvis,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.0,,
R. Smallwood,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,6.5,,
R. De Havilland,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,7.0,,
R. Howley,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,8.5,,
H. Biggins,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.0,,
T. Moore,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
K. Gough,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,9.5,,
M. Southam-Hales,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
K. Evans,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,10.0,,
K. Balmer,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,11.0,,
H. Pugh,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
T. James,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,12.0,,
M. Smith,Newport County,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
J. Sparkes,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
A. Kilgour,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
R. Harbottle,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
C. Mola,Bristol Rovers,start,true,2026-08-22T14:30:00Z,oddschecker-best,13.0,,
M. Langstaff,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.0,,
D. Udoh,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.4,,
J. Bird,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
W. Grigg,Chesterfield,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.6,,
L. Bonis,Chesterfield,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.75,,
R. Graydon,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,3.8,,
K. N'Mai,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
W. Dickson,Chesterfield,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.0,,
F. Bryden,Chesterfield,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.2,,
L. Molyneux,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
R. Sotiriou,Chesterfield,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.5,,
A. Odoh,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.6,,
D. Markanday,Chesterfield,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
K. Malcolm,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,4.75,,
J. Koroma,Chesterfield,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.25,,
B. Woodburn,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.25,,
K. Cesay,Salford City,start,true,2026-08-22T14:30:00Z,oddschecker-best,5.5,,
